"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
14402279,2021-08-05,"buy","flat","leasehold",2,"Watford",260000,2021-09-06,0,"no"
14403401,2021-08-06,"buy","house","freehold",3,"Wolverhampton",250000,2021-09-09,22,"yes"
14421111,2021-08-07,"buy","house","freehold",3,"Luton",290000,2021-09-17,0,"yes"
14432387,2021-08-09,"buy","flat","leasehold",2,"Bath",650000,2021-11-30,8,"no"
14436890,2021-08-10,"buy","house","freehold",4,"Coventry",390000,2021-11-02,0,"no"
14446051,2021-08-10,"buy","house","freehold",4,"Watford",650000,2021-08-31,20,"no"
14447919,2021-08-11,"buy","flat","leasehold",1,"Uxbridge",205000,2021-11-17,82,"no"
14470528,2021-08-13,"buy","house","freehold",4,"Leicester",499000,2021-10-22,0,"no"
14471590,2021-08-13,"buy","house","freehold",4,"Coventry",335000,2021-10-15,0,"no"
14477290,2021-07-03,"buy","house","freehold",4,"Sheffield",215000,2021-09-10,0,"no"
14480221,2021-08-14,"buy","flat","leasehold",2,"Reading",275000,2021-09-30,0,"no"
14482249,2021-08-02,"buy","house","freehold",3,"Sheffield",190000,2021-10-26,31,"yes"
14484772,2021-08-13,"buy","house","unknown",2,"Brighton",4e+05,2022-02-11,0,"no"
14487111,2021-08-16,"buy","house","freehold",2,"Richmond",895000,2022-04-28,0,"no"
14489274,2021-08-15,"buy","house","freehold",3,"Chelmsford",4e+05,2021-09-01,0,"yes"
14491635,2021-08-16,"buy","house","freehold",4,"Sheffield",140000,2021-11-02,0,"yes"
14521512,2021-08-18,"buy","house","freehold",4,"Coventry",375000,2021-10-01,9,"yes"
14524951,2021-08-19,"buy","flat","leasehold",1,"Reading",150000,2021-08-25,0,"yes"
14559701,2021-08-24,"buy","house","freehold",3,"Watford",345000,2021-08-25,0,"yes"
14561741,2021-08-24,"buy","flat","leasehold",2,"Reading",335000,2021-09-14,0,"no"
14565884,2021-08-23,"buy","house","unknown",2,"Leicester",129950,2021-10-01,0,"no"
14581030,2021-08-26,"buy","flat","leasehold",1,"Hull",105000,2021-09-03,0,"no"
14595267,2021-08-27,"buy","house","freehold",3,"Sheffield",290000,2022-05-22,81,"no"
14641813,2021-09-06,"buy","house","freehold",5,"Surbiton",775000,2021-09-30,0,"no"
14655301,2021-08-31,"buy","flat","unknown",0,"Luton",135000,2021-09-07,0,"no"
14660248,2021-08-31,"buy","house","freehold",3,"Wolverhampton",165000,2021-09-10,0,"no"
14665948,2021-09-02,"buy","house","freehold",3,"Reading",365000,2022-05-03,0,"no"
14672569,2021-09-07,"buy","flat","leasehold",2,"Newcastle Upon Tyne",180000,2021-10-25,0,"yes"
14675533,2021-09-03,"buy","house","freehold",3,"Lincoln",2e+05,2021-09-03,0,"no"
14681891,2021-09-08,"buy","house","freehold",2,"Uxbridge",695000,2022-05-28,0,"yes"
14708086,2021-09-10,"buy","house","freehold",3,"Leicester",280000,2021-10-09,19,"yes"
14723628,2021-09-12,"buy","house","freehold",3,"Cardiff",260000,2022-02-09,0,"no"
14724466,2021-09-13,"buy","flat","leasehold",1,"Reading",220000,2021-09-23,0,"no"
14724987,2021-09-13,"buy","house","freehold",4,"Coventry",385000,2021-10-29,9,"yes"
14725765,2021-09-13,"buy","flat","leasehold",1,"Barnet",350000,2021-11-09,0,"yes"
14728303,2021-09-13,"buy","house","freehold",3,"Coventry",145000,2021-10-08,0,"no"
14728572,2021-09-13,"buy","house","freehold",4,"Coventry",385000,2021-10-29,9,"yes"
14731963,2021-09-14,"buy","house","freehold",3,"Ilford",575000,2022-05-16,188,"yes"
14758647,2021-09-16,"buy","flat","leasehold",2,"Ilford",185000,2021-11-18,30,"yes"
14762532,2021-09-14,"buy","house","freehold",3,"Luton",410000,2021-09-29,15,"no"
14766177,2021-06-18,"buy","house","freehold",2,"Reading",280000,2021-09-15,0,"no"
