"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","revised_asking_price"
14546094,2021-08-20,"buy","flat","leasehold",2,"Sheffield",140000,2021-09-24,130000
14553450,2021-08-23,"buy","house","freehold",3,"Cardiff",215000,2021-10-13,195000
14558823,2021-08-24,"buy","flat","leasehold",1,"Basildon",150000,2021-09-16,140000
14569764,2021-08-24,"buy","house","unknown",4,"Gillingham",450000,2021-08-26,425000
14594395,2021-08-27,"buy","house","freehold",2,"Cardiff",350000,2021-11-16,315000
14595818,2021-08-27,"buy","flat","leasehold",2,"Barnet",579950,2022-01-04,550000
14606131,2021-08-27,"buy","house","freehold",4,"Reading",875000,2021-09-27,850000
14611530,2021-01-08,"buy","house","freehold",3,"Leicester",319995,2021-09-02,309995
14621266,2021-09-02,"buy","house","freehold",4,"Plymouth",435000,2021-09-07,4e+05
14625602,2021-09-03,"buy","house","freehold",3,"Cardiff",399950,2021-10-25,350000
14646537,2021-09-02,"buy","house","freehold",5,"Ilford",6e+05,2021-09-29,575000
14650374,2021-09-06,"buy","house","freehold",3,"Gloucester",330000,2021-09-21,320000
14698255,2021-09-09,"buy","house","freehold",4,"Reading",5e+05,2022-01-25,450000
14706107,2021-09-09,"buy","house","freehold",2,"Sheffield",125000,2022-04-22,120000
14710935,2021-09-10,"buy","flat","leasehold",2,"Uxbridge",375000,2022-02-23,360000
14728570,2021-09-13,"buy","house","freehold",3,"Coventry",2e+05,2021-10-08,180000
14736247,2021-09-14,"buy","house","freehold",3,"Leicester",260000,2021-10-04,250000
14737795,2021-09-14,"buy","flat","leasehold",1,"Reading",229950,2021-09-29,219950
14808611,2021-09-22,"buy","house","freehold",2,"Bromley",380000,2021-09-30,360000
14810512,2021-08-14,"buy","house","freehold",2,"Reading",250000,2021-10-02,239950
12194986,2021-01-01,"buy","house","freehold",3,"Newcastle Upon Tyne",169999,2021-04-17,159999
12235795,2021-01-07,"buy","flat","leasehold",1,"Cardiff",139950,2021-02-10,130000
12248302,2021-01-08,"buy","flat","leasehold",1,"Sheffield",130000,2021-02-15,110000
12249481,2021-01-08,"buy","house","freehold",3,"Leicester",239950,2021-03-19,219950
12253516,2021-01-08,"buy","house","freehold",2,"Coventry",179950,2021-01-19,170000
12261660,2021-01-08,"buy","house","freehold",3,"Exeter",350000,2021-06-02,345000
12266031,2021-01-11,"buy","house","freehold",3,"Leicester",5e+05,2021-02-18,450000
12276312,2021-01-12,"buy","house","freehold",2,"Hull",120000,2021-01-18,115000
12302228,2021-01-14,"buy","house","freehold",4,"Cardiff",275000,2021-01-28,265000
12309156,2021-01-12,"buy","house","freehold",3,"Reading",465000,2021-01-26,445000
12315683,2021-01-15,"buy","house","freehold",2,"Leicester",220000,2021-04-01,190000
12315938,2021-01-15,"buy","house","freehold",5,"Sheffield",230000,2021-02-01,215000
12328404,2021-01-16,"buy","house","freehold",3,"Reading",450000,2021-03-01,435000
12345212,2021-01-19,"buy","flat","leasehold",2,"Reading",360000,2021-02-25,350000
